Babol	 Iran
Brisbane	 Australia
Bristol	 United Kingdom
Brno	 Czech Republic
Brownsville	 United States
Bruges	 Belgium
Brusque	 Brazil
Brussels	 Belgium
Bryansk	 Russia
Bucaramanga	 Colombia
Bucharest	 Romania
Bucheon	 South Korea
Budapest	 Hungary
Budaun	 India
Buenaventura	 Colombia
Buenos Aires	 Argentina
Buffalo	 United States
Bujumbura	 Burundi
Bukan	 Iran
Bukavu	 Democratic Republic of the Congo
Bukhara	 Uzbekistan
Bulandshahr	 India
Bulawayo	 Zimbabwe
Bundi	 India
Buôn Ma Thuột	 Vietnam
Buraidah	 Saudi Arabia
Burao	 Somalia
Burari	 India
Burbank	 United States
Burewala	 Pakistan
Burgas	 Bulgaria
Burgos	 Spain
Burhanpur	 India
Burlington, Ontario	 Canada
Burnaby	 Canada
Bursa	 Turkey
Busan	 South Korea
Bushehr	 Iran
Butuan	 Philippines
Butwal	   Nepal
Buxar	 India
Buzău	 Romania
Bydgoszcz	 Poland
Bytom	 Poland
